N,P,K,temperature,humidity,ph,rainfall,soil_moisture,soil_type,sunlight_exposure,wind_speed,co2_concentration,organic_matter,irrigation_frequency,crop_density,pest_pressure,label
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,29.44606392,2,8.677355267,10.10987524,435.6112257,3.121394502,4,11.7439101,57.60730814,rice
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,12.85118264,3,5.754287955,12.0480498,401.4518597,2.142020929,4,16.79710124,74.73687901,rice
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,29.36391289,2,9.875230096,9.051348913,357.4179627,1.474973725,1,12.65439458,1.034478009,rice
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,26.20773239,3,8.023684684,7.963606057,363.6943055,8.393907172,1,10.86436018,24.09188793,rice
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,28.23623614,2,8.120511883,19.26413342,410.3564578,5.202285435,3,13.85291005,38.81148144,rice
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,23.6131152,3,10.87376757,2.728812125,428.7284297,5.958483178,5,13.47847446,82.07341332,rice
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,15.33369311,2,8.726839861,4.715023587,398.3170076,7.389915833,1,13.48761045,48.81462558,rice
94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,20.83564048,3,10.71988714,6.627556794,379.8472815,1.24207269,4,8.630781822,80.12783104,rice
89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,26.64065577,2,11.60018564,7.309391591,446.3333844,8.821774607,2,11.26010481,89.87019212,rice
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,24.36885292,3,6.413153903,15.39584598,377.3990152,4.241706392,1,11.88543253,26.5442576,rice
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,20.45914574,2,6.432884823,18.24128231,397.4717144,7.686282486,3,19.80376704,43.01498139,rice
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,15.40460045,2,8.554866438,3.533521192,387.8389578,3.312374646,2,6.024622353,65.4292994,rice
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,15.69649076,1,5.962473079,7.896438823,359.0427953,6.142806339,6,7.755604911,44.77693669,rice
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,18.10229956,3,10.50916478,4.249812524,439.9141829,3.208669384,2,7.552875738,80.62129313,rice
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,19.74252283,2,7.613462956,3.925950761,431.6839323,1.153833076,4,13.52043435,91.71888825,rice
60,48,39,24.28209415,80.30025587,7.042299069,231.0863347,23.34511451,1,10.16869787,13.21430558,386.1428305,8.705518065,3,14.31222991,13.35809839,rice
85,38,41,21.58711777,82.7883708,6.249050656,276.6552459,12.28784301,1,10.74800154,18.99798489,435.4804752,8.550569187,1,15.30324364,31.42938169,rice
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,20.50552905,2,8.914357979,5.605837158,362.0769125,5.083744267,5,6.886703069,14.48341832,rice
77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,19.86297771,3,9.604758002,15.03754499,449.0999824,3.287939301,6,8.669389336,50.161634,rice
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,25.75100657,1,5.156131899,11.96692269,387.8451723,8.82668821,6,13.41922725,21.42755696,rice
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,17.85095579,1,11.30220544,2.568028918,386.9120486,8.13725488,2,13.33118901,90.87507422,rice
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,16.92544358,2,7.193711118,16.94274791,380.1545777,3.757578539,6,11.43938114,43.7082171,rice
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,13.92858977,3,8.401741241,17.44435849,427.3210034,4.941116717,1,5.261348665,37.083929,rice
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,15.05407997,1,8.353858331,1.028665973,422.1631804,5.154205084,2,5.844103097,71.06154283,rice
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,21.66550159,3,11.40035147,7.178125231,387.1073931,2.524754582,3,7.674413593,66.6865802,rice
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,13.74174686,2,8.232858165,1.290206775,434.992243,7.417834013,2,13.42027563,66.96630853,rice
97,59,43,26.35927159,84.04403589,6.286500176,271.3586137,25.52548814,1,5.029698818,12.95701828,354.2222342,2.317210391,2,10.72087131,89.94165562,rice
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,16.9004053,1,7.130601916,16.28584016,387.0109983,4.229277117,1,9.28855019,34.12657848,rice
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,14.07087343,1,8.205569589,18.85925311,382.4049654,6.409720868,4,15.92940372,42.57121964,rice
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,12.41872293,3,6.495707285,13.90703852,385.5906802,4.852641177,5,6.141819411,41.55633193,rice
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,24.03853195,2,7.395417364,15.97704743,409.1350759,2.374012772,4,14.30804881,45.57980344,rice
92,35,40,22.17931888,80.33127223,6.357389366,200.0882787,11.7866641,2,7.827432568,19.20583481,449.7528367,1.161099445,3,10.64427837,32.18107344,rice
85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,18.58080281,1,10.6819306,3.936908658,440.5935604,4.719268903,6,15.78996608,5.000830207,rice
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,12.17300694,3,7.411662488,5.978189569,437.3522818,8.659881716,6,10.99225132,46.72542366,rice
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,23.33402741,3,11.43579541,1.123597348,428.4370764,5.11838527,5,8.588719561,2.002447204,rice
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,23.97882826,3,11.40265471,14.23982333,440.2770547,2.860604798,6,19.94017987,18.59282309,rice
99,57,35,26.75754171,81.17734011,5.960370061,272.2999056,20.46341223,1,6.2885136,15.68068087,414.9543244,9.040013386,6,6.191903208,2.720019241,rice
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,18.19548534,2,9.659394559,5.915009783,423.024884,2.371505551,1,7.624250508,62.71503007,rice
60,43,44,21.01944696,82.95221726,7.416245107,298.4018471,19.47400022,3,10.17381099,5.61442073,381.3204769,6.184190584,2,13.1585299,45.73350744,rice
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,10.47032305,3,6.112574761,11.56093912,446.1576904,5.191292846,5,19.66980834,13.41556033,rice
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,19.71000774,1,10.66513992,16.50816322,415.2461743,8.748923932,2,17.74771455,79.52545134,rice
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,17.24189818,2,10.91225501,5.994164682,428.6996406,2.60189034,3,14.83034665,82.17204057,rice
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,23.53223556,3,8.766910374,8.119286467,401.0458892,8.410945628,1,5.545100234,86.37193496,rice
82,40,40,23.83067496,84.81360127,6.271478838,298.5601175,22.69162021,1,6.605037156,15.55397091,437.1088966,7.030883615,2,7.031841761,43.38731405,rice
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,10.92493977,1,9.817672791,9.747403754,368.0356909,1.81436486,6,14.08081222,90.09073039,rice
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,14.65936235,1,7.719460462,18.6770593,407.8865853,4.84693238,6,8.775049596,98.9995425,rice
76,49,42,24.958779,84.47963372,5.206373153,196.9560008,15.67275092,3,10.14681184,9.895260932,423.096271,6.422222477,3,6.765426687,88.55246717,rice
74,39,38,23.24113501,84.59201843,7.782051313,233.0453455,20.81748306,3,11.91334986,11.20682824,392.4729764,2.514791434,6,18.05209272,12.79724519,rice
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,16.43493596,1,8.62085821,7.996159946,373.4682793,4.293714527,4,5.724663012,51.5098237,rice
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,14.83400006,3,7.029931525,14.43428125,420.6499543,1.705943298,6,15.95151762,11.01051035,rice
60,36,43,23.43121862,83.06310136,5.286203711,219.9048349,24.81219877,1,7.16993109,7.12217378,409.3179307,2.264515487,6,14.05450932,41.56000215,rice
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,10.90775604,2,9.518815469,4.538322563,446.2142259,9.711797807,2,12.27730547,98.53192199,rice
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,29.14604113,1,8.706770212,8.006397243,364.4324681,7.237875249,3,9.94380588,25.96809288,rice
65,60,43,21.97199397,81.89918197,5.658169482,227.3637009,21.27936422,3,9.694557135,14.75934637,359.3430404,1.561418793,3,15.13471981,70.62633952,rice
95,52,36,26.22916897,83.83625819,5.543360238,286.5083725,16.40426796,1,9.506083981,9.96361333,410.9776458,3.747581609,4,13.66558456,14.43284132,rice
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,13.10490406,3,10.10608178,17.37441874,420.6999516,1.835565413,2,11.00629674,99.43025732,rice
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,21.98743158,1,8.364997215,6.42831241,372.5011977,5.268051691,3,7.120670963,10.9532296,rice
